Cell	Group	ExpLibSize
Cell1905	Cell1905	Group2	149988.527647213
Cell1906	Cell1906	Group2	463583.495326293
Cell1907	Cell1907	Group2	266239.494593731
Cell1908	Cell1908	Group2	320520.825751731
Cell1909	Cell1909	Group2	231456.227633284
Cell1910	Cell1910	Group2	374004.749179153
Cell1911	Cell1911	Group2	348175.836844392
Cell1912	Cell1912	Group2	94512.729227353
Cell1913	Cell1913	Group2	544425.178441951
Cell1914	Cell1914	Group2	360860.674688602
Cell1915	Cell1915	Group2	185864.114225081
Cell1916	Cell1916	Group2	172205.271020647
Cell1917	Cell1917	Group2	219404.894178135
Cell1918	Cell1918	Group2	129620.96985909
Cell1919	Cell1919	Group2	357347.149816121
Cell1920	Cell1920	Group2	798386.72076531
Cell1921	Cell1921	Group2	369140.295900398
Cell1922	Cell1922	Group2	449483.956153108
Cell1923	Cell1923	Group2	137521.188687826
Cell1924	Cell1924	Group2	133058.804583056
Cell1925	Cell1925	Group2	194309.375865697
Cell1926	Cell1926	Group2	503879.631773315
Cell1927	Cell1927	Group2	195679.914992395
Cell1928	Cell1928	Group2	457887.713481194
Cell1929	Cell1929	Group2	289654.312915234
Cell1930	Cell1930	Group2	413040.057965705
Cell1931	Cell1931	Group2	178643.688540447
Cell1932	Cell1932	Group2	188385.125404756
Cell1933	Cell1933	Group2	309880.359725375
Cell1934	Cell1934	Group2	291370.261058113
Cell1935	Cell1935	Group2	114868.852561116
Cell1936	Cell1936	Group2	452120.994172401
Cell1937	Cell1937	Group2	104476.753165556
Cell1938	Cell1938	Group2	257992.37352009
Cell1939	Cell1939	Group2	340367.479998094
Cell1940	Cell1940	Group2	217890.790410378
Cell1941	Cell1941	Group2	144103.816284621
Cell1942	Cell1942	Group2	260498.634389544
Cell1943	Cell1943	Group2	308739.526452741
Cell1944	Cell1944	Group2	191170.433809318
Cell1945	Cell1945	Group2	148114.279858989
Cell1946	Cell1946	Group2	163007.462577736
Cell1947	Cell1947	Group2	241341.140706697
Cell1948	Cell1948	Group2	252371.397761877
Cell1949	Cell1949	Group2	760351.049968085
Cell1950	Cell1950	Group2	154491.933402494
Cell1951	Cell1951	Group2	412438.376731551
Cell1952	Cell1952	Group2	257653.039662608
Cell1953	Cell1953	Group2	348017.921936587
Cell1954	Cell1954	Group2	222878.039410424
Cell1955	Cell1955	Group2	528742.452039558
Cell1956	Cell1956	Group2	120813.35376747
Cell1957	Cell1957	Group2	360761.304312559
Cell1958	Cell1958	Group2	334591.297152544
Cell1959	Cell1959	Group2	613737.481441012
Cell1960	Cell1960	Group2	288678.271881506
Cell1961	Cell1961	Group2	441464.654312994
Cell1962	Cell1962	Group2	416954.247374277
Cell1963	Cell1963	Group2	225077.821377116
Cell1964	Cell1964	Group2	313626.581504668
Cell1965	Cell1965	Group2	304548.692769236
Cell1966	Cell1966	Group2	637221.540562683
Cell1967	Cell1967	Group2	379356.249279579
Cell1968	Cell1968	Group2	391014.599403454
Cell1969	Cell1969	Group2	1310528.27148456
Cell1970	Cell1970	Group2	421067.648366206
Cell1971	Cell1971	Group2	407927.472901769
Cell1972	Cell1972	Group2	450684.520117394
Cell1973	Cell1973	Group2	820172.243512213
Cell1974	Cell1974	Group2	580546.589820904
Cell1975	Cell1975	Group2	402189.883846252
Cell1976	Cell1976	Group2	229896.78154042
Cell1977	Cell1977	Group2	406624.886691299
Cell1978	Cell1978	Group2	358135.900847702
Cell1979	Cell1979	Group2	111695.046138709
Cell1980	Cell1980	Group2	132915.409898742
Cell1981	Cell1981	Group2	114486.970954757
Cell1982	Cell1982	Group2	758127.967604309
Cell1983	Cell1983	Group2	474289.073988762
Cell1984	Cell1984	Group2	82506.212385892
Cell1985	Cell1985	Group2	433842.281487091
Cell1986	Cell1986	Group2	342116.8834863
Cell1987	Cell1987	Group2	283321.722484485
Cell1988	Cell1988	Group2	212500.360925922
Cell1989	Cell1989	Group2	156015.289003536
Cell1990	Cell1990	Group2	547701.564922539
Cell1991	Cell1991	Group2	234550.506568164
Cell1992	Cell1992	Group2	304791.687490533
Cell1993	Cell1993	Group2	465566.195204775
Cell1994	Cell1994	Group2	451566.225882622
Cell1995	Cell1995	Group2	261330.803849994
Cell1996	Cell1996	Group2	239623.870056595
Cell1997	Cell1997	Group2	383904.329812153
Cell1998	Cell1998	Group2	164582.77171208
Cell1999	Cell1999	Group2	394609.809664767
Cell2000	Cell2000	Group2	364945.434638382
